INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-10-23', '너무 어려워요 ㅠㅠ', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-5-6', '오늘은 이거닷', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-4-2', '오늘은 이거닷', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-12-6', '행복하세요', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-6-17', '우와 대박이에요~~!', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-5-3', '행복하세요', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-5-4', '오늘은 이거닷', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-3-3', '좋은 정보 감사합니다!', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-8-14', '행복하세요', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-11-11', '너무 어려워요 ㅠㅠ', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-12-8', '우와 대박이에요~~!', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-3-6', '너무 어려워요 ㅠㅠ', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-5-12', '좋은 레시피 감사합니다', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-3-30', '좋은 레시피 감사합니다', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-11-10', '우와 대박이에요~~!', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-4-29', '행복하세요', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-3-27', '좋은 레시피 감사합니다', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-5-7', '좋은 레시피 감사합니다', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-6-2', '우와 대박이에요~~!', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-7-4', '좋은 레시피 감사합니다', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-4-24', '우와 대박이에요~~!', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-9-30', '좋은 정보 감사합니다!', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-7-28', '좋은 정보 감사합니다!', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-7-24', '좋은 정보 감사합니다!', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-4-29', '우와 대박이에요~~!', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-11-11', '너무 어려워요 ㅠㅠ', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-1-18', '좋은 정보 감사합니다!', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-3-15', '오늘은 이거닷', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-10-2', '오늘은 이거닷', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-4-20', '행복하세요', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-4-3', '좋은 정보 감사합니다!', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-6-28', '너무 어려워요 ㅠㅠ', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-6-24', '오늘은 이거닷', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-3-1', '오늘은 이거닷', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-2-16', '너무 어려워요 ㅠㅠ', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-6-2', '좋은 정보 감사합니다!', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-3-5', '좋은 레시피 감사합니다', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-10-23', '너무 어려워요 ㅠㅠ', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-1-13', '오늘은 이거닷', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-4-1', '우와 대박이에요~~!', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-8-30', '행복하세요', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-2-6', '좋은 정보 감사합니다!', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-6-19', '우와 대박이에요~~!', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-3-11', '우와 대박이에요~~!', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-2-18', '행복하세요', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-4-14', '우와 대박이에요~~!', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-11-5', '좋은 정보 감사합니다!', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-9-11', '좋은 레시피 감사합니다', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-2-14', '오늘은 이거닷', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-5-16', '행복하세요', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-7-1', '우와 대박이에요~~!', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-9-7', '너무 어려워요 ㅠㅠ', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-2-19', '좋은 레시피 감사합니다', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-4-28', '좋은 레시피 감사합니다', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-7-21', '우와 대박이에요~~!', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-8-17', '좋은 레시피 감사합니다', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-3-26', '좋은 레시피 감사합니다', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-7-13', '우와 대박이에요~~!', 'None');
INSERT INTO 댓글 (댓글번호, 레시피번호, 작성시간, 댓글내용, 작성자ID) VALUES (1, None, '2023-4-26', '행복하세요', 'None');
